Project ID,Monitoring Location ID,Activity ID (CHILD-subset),Activity ID User Supplied (PARENTs),Activity Type,Activity Media Name,Activity Start Date,Activity Start Time,Activity Start Time Zone,Activity Depth/Height Measure,Activity Depth/Height Unit,Sample Collection Method ID,Sample Collection Method Context,Sample Collection Equipment Name,Sample Collection Equipment Comment,Characteristic Name,Characteristic Name User Supplied,Method Speciation,Result Detection Condition,Result Value,Result Unit,Result Measure Qualifier,Result Sample Fraction,Result Status ID,ResultTemperatureBasis,Statistical Base Code,ResultTimeBasis,Result Value Type,Result Analytical Method ID,Result Analytical Method Context,Analysis Start Date,Result Detection/Quantitation Limit Type,Result Detection/Quantitation Limit Measure,Result Detection/Quantitation Limit Unit,Result Comment
HAB,JB,JB:06142022:0859:SR:WB::,,Sample-Routine,Water,06/14/2022,08:59,PST,,,BVR SWQAPP,CA_BVR,Water Bottle,,Microcystin/nodularin genes mcyE/ndaF,,,,17.62,ug/L,,Total,Final,,,,Actual,520060,ABRAXIS LLC,06/16/2022,Practical Quantitation Limit,0.75,ug/L,Batch 1
HAB,ELEM01,ELEM01:06142022:1059:SR:WB::,,Sample-Routine,Water,06/14/2022,10:59,PST,,,BVR SWQAPP,CA_BVR,Water Bottle,,Microcystin/nodularin genes mcyE/ndaF,,,,84.21,ug/L,,Total,Final,,,,Actual,520060,ABRAXIS LLC,06/16/2022,Practical Quantitation Limit,30.00,ug/L,Batch 2
HAB,LUC01,LUC01:06142022:1250:SR:WB::,,Sample-Routine,Water,06/14/2022,12:50,PST,,,BVR SWQAPP,CA_BVR,Water Bottle,,Microcystin/nodularin genes mcyE/ndaF,,,,0.53,ug/L,,Total,Final,,,,Actual,520060,ABRAXIS LLC,06/16/2022,Practical Quantitation Limit,0.15,ug/L,Batch 1
HAB,RED01,RED01:06142022:0945:SR:WB::,,Sample-Routine,Water,06/14/2022,09:45,PST,,,BVR SWQAPP,CA_BVR,Water Bottle,,Microcystin/nodularin genes mcyE/ndaF,,,,39.40,ug/L,,Total,Final,,,,Actual,520060,ABRAXIS LLC,06/16/2022,Practical Quantitation Limit,7.50,ug/L,Batch 2
HAB,SBMMEL01,SBMMEL01:06142022:1115:SR:WB::,,Sample-Routine,Water,06/14/2022,11:15,PST,,,BVR SWQAPP,CA_BVR,Water Bottle,,Microcystin/nodularin genes mcyE/ndaF,,,,790.0,ug/L,,Total,Final,,,,Actual,520060,ABRAXIS LLC,06/16/2022,Practical Quantitation Limit,150.0,ug/L,Batch 2
HAB,AP01,AP01:06142022:1000:SR:WB::,,Sample-Routine,Water,06/14/2022,10:00,PST,,,BVR SWQAPP,CA_BVR,Water Bottle,,Microcystin/nodularin genes mcyE/ndaF,,,,6.14,ug/L,,Total,Final,,,,Actual,520060,ABRAXIS LLC,06/16/2022,Practical Quantitation Limit,0.75,ug/L,Batch 1
HAB,Benthic LUC01,Benthic LUC01:06142022:1250:SR:WB::,,Sample-Routine,Water,06/14/2022,12:50,PST,,,BVR SWQAPP,CA_BVR,Water Bottle,,Microcystin/nodularin genes mcyE/ndaF,,,,0.45,ug/L,,Total,Final,,,,Actual,520060,ABRAXIS LLC,06/16/2022,Practical Quantitation Limit,0.30,ug/L,Batch 1
HAB,BVCL6,BVCL6:06142022:0715:SR:WB::,,Sample-Routine,Water,06/14/2022,07:15,PST,,,BVR SWQAPP,CA_BVR,Water Bottle,,Microcystin,,,Not Detected,,,,Total,Final,,,,Actual,1611,USEPA,06/16/2022,Practical Quantitation Limit,100,copies/mL,U
HAB,CP,CP:06142022:0733:SR:WB::,,Sample-Routine,Water,06/14/2022,07:33,PST,,,BVR SWQAPP,CA_BVR,Water Bottle,,Cylindrospermopsin,,,Not Detected,,,,Total,Final,,,,Actual,1611,USEPA,06/16/2022,Practical Quantitation Limit,100,copies/mL,U
HAB,CP,CP:06142022:0733:SR:WB::,,Sample-Routine,Water,06/14/2022,07:33,PST,,,BVR SWQAPP,CA_BVR,Water Bottle,,Microcystin,,,,1813,copies/mL,,Total,Final,,,,Actual,1611,USEPA,06/16/2022,Practical Quantitation Limit,100,copies/mL,
HAB,CP,CP:06142022:0733:SR:WB::,,Sample-Routine,Water,06/14/2022,07:33,PST,,,BVR SWQAPP,CA_BVR,Water Bottle,,Saxitoxin,,,Not Detected,,,,Total,Final,,,,Actual,1611,USEPA,06/16/2022,Practical Quantitation Limit,100,copies/mL,U
HAB,CLV7,CLV7:06142022:0752:SR:WB::,,Sample-Routine,Water,06/14/2022,07:52,PST,,,BVR SWQAPP,CA_BVR,Water Bottle,,Microcystin,,,,1903,copies/mL,,Total,Final,,,,Actual,1611,USEPA,06/16/2022,Practical Quantitation Limit,100,copies/mL,
HAB,BP,BP:06142022:0831:SR:WB::,,Sample-Routine,Water,06/14/2022,08:31,PST,,,BVR SWQAPP,CA_BVR,Water Bottle,,Microcystin,,,,6475,copies/mL,,Total,Final,,,,Actual,1611,USEPA,06/16/2022,Practical Quantitation Limit,100,copies/mL,
HAB,SHADY01,SHADY01:06142022:0930:SR:WB::,,Sample-Routine,Water,06/14/2022,09:30,PST,,,BVR SWQAPP,CA_BVR,Water Bottle,,Microcystin,,,,171298,copies/mL,,Total,Final,,,,Actual,1611,USEPA,06/16/2022,Practical Quantitation Limit,100,copies/mL,
HAB,SHADY01,SHADY01:06142022:0930:SR:WB::,,Sample-Routine,Water,06/14/2022,09:30,PST,,,BVR SWQAPP,CA_BVR,Water Bottle,,Microcystin/nodularin genes mcyE/ndaF,,,,22.81,ug/L,,Total,Final,,,,Actual,520060,ABRAXIS LLC,06/16/2022,Practical Quantitation Limit,1.50,ug/L,Batch 3
HAB,LC01,LC01:06142022:1022:SR:WB::,,Sample-Routine,Water,06/14/2022,10:22,PST,,,BVR SWQAPP,CA_BVR,Water Bottle,,Microcystin,,,,3586,copies/mL,,Total,Final,,,,Actual,1611,USEPA,06/16/2022,Practical Quantitation Limit,100,copies/mL,
HAB,CLOAKS01,CLOAKS01:06142022:1159:SR:WB::,,Sample-Routine,Water,06/14/2022,11:59,PST,,,BVR SWQAPP,CA_BVR,Water Bottle,,Microcystin/nodularin genes mcyE/ndaF,,,,16.87,ug/L,,Total,Final,,,,Actual,520060,ABRAXIS LLC,06/16/2022,Practical Quantitation Limit,3.75,ug/L,Batch 2
HAB,GH,GH:06142022:1221:SR:WB::,,Sample-Routine,Water,06/14/2022,12:21,PST,,,BVR SWQAPP,CA_BVR,Water Bottle,,Microcystin,,,Not Detected,,,,Total,Final,,,,Actual,1611,USEPA,06/16/2022,Practical Quantitation Limit,100,copies/mL,U
HAB,KP01,KP01:06142022:1308:SR:WB::,,Sample-Routine,Water,06/14/2022,13:08,PST,,,BVR SWQAPP,CA_BVR,Water Bottle,,Microcystin,,,Not Detected,,,,Total,Final,,,,Actual,1611,USEPA,06/16/2022,Practical Quantitation Limit,100,copies/mL,U
HAB,LA03,LA03:06132022:0950:SR:WB::,,Sample-Routine,Water,06/13/2022,09:50,PST,,,BVR SWQAPP,CA_BVR,Water Bottle,,Microcystin/nodularin genes mcyE/ndaF,,,,4.38,ug/L,,Total,Final,,,,Actual,520060,ABRAXIS LLC,06/16/2022,Practical Quantitation Limit,0.15,ug/L,Batch 1
HAB,OA04,OA04:06132022:1015:SR:WB::,,Sample-Routine,Water,06/13/2022,10:15,PST,,,BVR SWQAPP,CA_BVR,Water Bottle,,Microcystin/nodularin genes mcyE/ndaF,,,,2.69,ug/L,,Total,Final,,,,Actual,520060,ABRAXIS LLC,06/16/2022,Practical Quantitation Limit,0.30,ug/L,Batch 1
HAB,CL-1,CL-1:06092022:1133:SR:WB::,,Sample-Routine,Water,06/09/2022,11:33,PST,,,BVR SWQAPP,CA_BVR,Water Bottle,,Microcystin/nodularin genes mcyE/ndaF,,,,0.29,ug/L,,Total,Final,,,,Actual,520060,ABRAXIS LLC,06/16/2022,Practical Quantitation Limit,0.15,ug/L,Batch 1
HAB,CL-3,CL-3:06092022:0936:SR:WB::,,Sample-Routine,Water,06/09/2022,09:36,PST,,,BVR SWQAPP,CA_BVR,Water Bottle,,Microcystin/nodularin genes mcyE/ndaF,,,,3.45,ug/L,,Total,Final,,,,Actual,520060,ABRAXIS LLC,06/16/2022,Practical Quantitation Limit,0.30,ug/L,Batch 1
HAB,CL-4,CL-4:06092022:1039:SR:WB::,,Sample-Routine,Water,06/09/2022,10:39,PST,,,BVR SWQAPP,CA_BVR,Water Bottle,,Microcystin/nodularin genes mcyE/ndaF,,,,2.11,ug/L,,Total,Final,,,,Actual,520060,ABRAXIS LLC,06/16/2022,Practical Quantitation Limit,0.30,ug/L,Batch 1
